customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
15,123,quaker oats,2024-05-22,7,212.0,9,1908.0
6,122,refined oil,2024-06-25,4,110.0,3,330.0
7,123,sugar,2024-03-25,7,50.0,1,50.0
4,123,dantkanti,2024-05-03,9,100.0,2,200.0
14,122,quaker oats,2024-05-26,5,212.0,3,636.0
19,121,sugar,2024-08-09,1,50.0,1,50.0
5,121,besan,2024-03-30,2,52.0,1,52.0
6,121,dantkanti,2024-07-26,3,100.0,3,300.0
8,122,nutrella,2024-07-29,5,40.0,2,80.0
2,122,clinic plus,2024-05-11,5,1.5,10,15.0
6,123,besan,2024-05-06,8,52.0,10,520.0
6,121,dantkanti,2024-03-28,3,100.0,9,900.0
6,122,sugar,2024-06-30,4,50.0,8,400.0
20,123,maida,2024-07-19,8,20.0,5,100.0
13,122,clinic plus,2024-04-11,5,1.5,1,1.5
17,121,maida,2024-03-07,2,20.0,6,120.0
3,122,refined oil,2024-07-14,5,110.0,9,990.0
8,122,dantkanti,2024-06-10,4,100.0,7,700.0
7,122,nutrella,2024-08-01,5,40.0,3,120.0
5,122,dantkanti,2024-05-26,6,100.0,1,100.0
2,121,maida,2024-04-08,1,20.0,10,200.0
2,121,sugar,2024-08-13,2,50.0,6,300.0
15,121,dantkanti,2024-04-05,1,100.0,3,300.0
17,123,besan,2024-08-14,9,52.0,4,208.0
5,122,refined oil,2024-07-18,5,110.0,4,440.0
5,121,besan,2024-08-11,2,52.0,4,208.0
12,123,quaker oats,2024-08-08,9,212.0,7,1484.0
7,122,besan,2024-06-29,4,52.0,8,416.0
1,123,refined oil,2024-06-27,8,110.0,9,990.0
4,123,maida,2024-08-05,7,20.0,8,160.0
17,121,dantkanti,2024-06-29,2,100.0,8,800.0
13,121,quaker oats,2024-06-26,1,212.0,3,636.0
5,121,quaker oats,2024-06-27,1,212.0,4,848.0
2,121,maida,2024-08-15,3,20.0,6,120.0
3,121,besan,2024-03-06,1,52.0,2,104.0
18,121,besan,2024-04-13,1,52.0,8,416.0
9,123,nutrella,2024-08-16,8,40.0,2,80.0
10,121,dantkanti,2024-07-01,2,100.0,1,100.0
18,123,dantkanti,2024-03-30,8,100.0,3,300.0
20,121,dantkanti,2024-07-31,2,100.0,2,200.0
6,122,quaker oats,2024-06-30,4,212.0,1,212.0
12,122,quaker oats,2024-07-25,5,212.0,10,2120.0
5,121,dantkanti,2024-06-25,1,100.0,10,1000.0
17,121,besan,2024-05-31,1,52.0,10,520.0
5,122,quaker oats,2024-06-25,5,212.0,6,1272.0
13,123,quaker oats,2024-05-29,7,212.0,6,1272.0
3,122,dantkanti,2024-04-05,5,100.0,6,600.0
